Trade #,Type,Signal,Date/Time,Price,Contracts,Profit €,Profit %,Cum. Profit €,Cum. Profit %,Run-up €,Run-up %,Drawdown €,Drawdown %
354,Entry Short,Short,2021-07-14 06:20,1.2600,31,-0.18,-0.29,8.25,-1.42,0.08,0.28,0.16,0.33
354,Exit Short,Short Exit,2021-07-14 07:05,1.2647,31,-0.18,-0.29,8.25,-1.42,0.08,0.28,0.16,0.33
355,Entry Short,Short,2021-07-14 07:20,1.2609,31,0.08,0.37,8.33,0.66,0.10,0.33,0.14,0.27
355,Exit Short,Short Exit,2021-07-14 07:40,1.2573,31,0.08,0.37,8.33,0.66,0.10,0.33,0.14,0.27
356,Entry Short,Short,2021-07-14 09:20,1.2620,31,0.20,0.67,8.53,1.61,0.21,0.63,0.03,0
356,Exit Short,Short Exit,2021-07-14 09:25,1.2546,31,0.20,0.67,8.53,1.61,0.21,0.63,0.03,0
357,Entry Long,Long,2021-07-14 10:35,1.2290,32,0.18,0.46,8.71,1.43,0.25,0.64,0.02,0.04
357,Exit Long,Long Exit,2021-07-14 10:40,1.2356,32,0.18,0.46,8.71,1.43,0.25,0.64,0.02,0.04
358,Entry Short,Short,2021-07-14 12:10,1.2397,32,0.19,0.64,8.90,1.51,0.21,0.6,0.11,0.19
358,Exit Short,Short Exit,2021-07-14 12:20,1.2327,32,0.19,0.64,8.90,1.51,0.21,0.6,0.11,0.19
359,Entry Long,Long,2021-07-14 13:00,1.2160,32,-0.15,-0.38,8.75,-1.13,0.06,0.15,0.17,0.43
359,Exit Long,Long Exit,2021-07-14 13:05,1.2124,32,-0.15,-0.38,8.75,-1.13,0.06,0.15,0.17,0.43
360,Entry Short,Short,2021-07-14 13:45,1.2223,32,0.09,0.4,8.85,0.73,0.17,0.51,0.02,0
360,Exit Short,Short Exit,2021-07-14 13:50,1.2184,32,0.09,0.4,8.85,0.73,0.17,0.51,0.02,0
361,Entry Short,Short,2021-07-14 16:00,1.2064,33,-0.28,-0.54,8.57,-2.18,0.01,0.1,0.26,0.58
361,Exit Short,Short Exit,2021-07-14 16:05,1.2139,33,-0.28,-0.54,8.57,-2.18,0.01,0.1,0.26,0.58
362,Entry Long,Long,2021-07-15 04:40,1.2683,31,-0.26,-0.66,8.31,-2.05,0.14,0.35,0.24,0.62
362,Exit Long,Long Exit,2021-07-15 08:10,1.2610,31,-0.26,-0.66,8.31,-2.05,0.14,0.35,0.24,0.62
363,Entry Long,Long,2021-07-15 09:35,1.2607,31,0.11,0.29,8.42,0.93,0.13,0.34,0.02,0.05
363,Exit Long,Long Exit,2021-07-15 09:40,1.2654,31,0.11,0.29,8.42,0.93,0.13,0.34,0.02,0.05
364,Entry Long,Long,2021-07-15 12:25,1.2492,32,0.12,0.31,8.55,1,0.16,0.39,0.03,0.07
364,Exit Long,Long Exit,2021-07-15 12:30,1.2541,32,0.12,0.31,8.55,1,0.16,0.39,0.03,0.07
365,Entry Long,Long,2021-07-15 17:05,1.2444,32,-0.45,-1.13,8.10,-3.59,0.0001,0,0.44,1.09
365,Exit Long,Long Exit,2021-07-15 17:30,1.2313,32,-0.45,-1.13,8.10,-3.59,0.0001,0,0.44,1.09
366,Entry Short,Short,2021-07-15 19:15,1.2505,31,0.05,0.28,8.14,0.38,0.07,0.26,0.02,0
366,Exit Short,Short Exit,2021-07-15 19:20,1.2480,31,0.05,0.28,8.14,0.38,0.07,0.26,0.02,0
367,Entry Short,Short,2021-07-15 21:30,1.2185,32,-0.24,-0.46,7.90,-2,0.08,0.28,0.23,0.5
367,Exit Short,Short Exit,2021-07-15 21:50,1.2251,32,-0.24,-0.46,7.90,-2,0.08,0.28,0.23,0.5
368,Entry Short,Short,2021-07-15 22:20,1.2210,32,0.13,0.49,8.03,1.08,0.14,0.45,0.03,0.01
368,Exit Short,Short Exit,2021-07-15 22:25,1.2160,32,0.13,0.49,8.03,1.08,0.14,0.45,0.03,0.01
369,Entry Short,Short,2021-07-15 22:50,1.2265,32,-0.10,-0.09,7.93,-0.82,0.01,0.11,0.11,0.2
369,Exit Short,Short Exit,2021-07-15 22:55,1.2286,32,-0.10,-0.09,7.93,-0.82,0.01,0.11,0.11,0.2
370,Entry Long,Long,2021-07-16 02:35,1.2138,32,-0.18,-0.48,7.75,-1.55,0,0,0.18,0.46
370,Exit Long,Long Exit,2021-07-16 02:40,1.2090,32,-0.18,-0.48,7.75,-1.55,0,0,0.18,0.46
371,Entry Short,Short,2021-07-16 03:50,1.2183,32,-0.22,-0.41,7.52,-1.9,0,0.04,0.23,0.51
371,Exit Short,Short Exit,2021-07-16 03:55,1.2243,32,-0.22,-0.41,7.52,-1.9,0,0.04,0.23,0.51
372,Entry Short,Short,2021-07-16 08:40,1.2259,32,0.29,0.9,7.82,2.53,0.31,0.86,0.24,0.52
372,Exit Short,Short Exit,2021-07-16 09:35,1.2158,32,0.29,0.9,7.82,2.53,0.31,0.86,0.24,0.52
373,Entry Long,Long,2021-07-16 17:30,1.1997,33,0.02,0.05,7.84,0.18,0.12,0.3,0.03,0.07
373,Exit Long,Long Exit,2021-07-16 17:35,1.2013,33,0.02,0.05,7.84,0.18,0.12,0.3,0.03,0.07
374,Entry Long,Long,2021-07-16 19:50,1.1720,34,-0.20,-0.5,7.64,-1.68,0.14,0.36,0.18,0.46
374,Exit Long,Long Exit,2021-07-16 20:10,1.1671,34,-0.20,-0.5,7.64,-1.68,0.14,0.36,0.18,0.46
375,Entry Long,Long,2021-07-17 04:20,1.2106,33,-0.23,-0.57,7.41,-1.95,0.02,0.06,0.21,0.53
375,Exit Long,Long Exit,2021-07-17 04:30,1.2047,33,-0.23,-0.57,7.41,-1.95,0.02,0.06,0.21,0.53
376,Entry Long,Long,2021-07-17 05:10,1.1952,33,0.08,0.2,7.49,0.71,0.14,0.35,0.04,0.1
376,Exit Long,Long Exit,2021-07-17 05:15,1.1986,33,0.08,0.2,7.49,0.71,0.14,0.35,0.04,0.1
377,Entry Short,Short,2021-07-17 07:30,1.1898,33,0.20,0.68,7.70,1.77,0.23,0.65,0.02,0
377,Exit Short,Short Exit,2021-07-17 07:35,1.1827,33,0.20,0.68,7.70,1.77,0.23,0.65,0.02,0
378,Entry Long,Long,2021-07-17 08:20,1.1823,33,-0.20,-0.51,7.50,-1.71,0,0,0.20,0.51
378,Exit Long,Long Exit,2021-07-17 08:25,1.1772,33,-0.20,-0.51,7.50,-1.71,0,0,0.20,0.51
379,Entry Long,Long,2021-07-17 09:40,1.1783,33,-0.50,-1.28,7.00,-4.32,0.30,0.77,0.48,1.24
379,Exit Long,Long Exit,2021-07-17 10:40,1.1642,33,-0.50,-1.28,7.00,-4.32,0.30,0.77,0.48,1.24
380,Entry Long,Long,2021-07-17 11:30,1.1507,34,0.11,0.28,7.11,0.98,0.20,0.51,0.05,0.14
380,Exit Long,Long Exit,2021-07-17 11:35,1.1548,34,0.11,0.28,7.11,0.98,0.20,0.51,0.05,0.14
381,Entry Short,Short,2021-07-17 12:50,1.1593,34,-0.15,-0.22,6.96,-1.36,0.05,0.21,0.13,0.26
381,Exit Short,Short Exit,2021-07-17 13:00,1.1628,34,-0.15,-0.22,6.96,-1.36,0.05,0.21,0.13,0.26
382,Entry Long,Long,2021-07-17 20:15,1.1565,34,-0.11,-0.29,6.84,-1.03,0.04,0.11,0.15,0.38
382,Exit Long,Long Exit,2021-07-17 20:20,1.1541,34,-0.11,-0.29,6.84,-1.03,0.04,0.11,0.15,0.38
383,Entry Long,Long,2021-07-18 16:10,1.1945,33,-0.10,-0.26,6.74,-0.93,0.03,0.07,0.09,0.22
383,Exit Long,Long Exit,2021-07-18 16:20,1.1924,33,-0.10,-0.26,6.74,-0.93,0.03,0.07,0.09,0.22
384,Entry Long,Long,2021-07-18 17:15,1.1947,33,0.09,0.24,6.84,0.87,0.12,0.29,0.06,0.15
384,Exit Long,Long Exit,2021-07-18 17:20,1.1985,33,0.09,0.24,6.84,0.87,0.12,0.29,0.06,0.15
385,Entry Short,Short,2021-07-19 07:15,1.1862,33,0.22,0.72,7.06,2.03,0.25,0.71,0.03,0
385,Exit Short,Short Exit,2021-07-19 07:20,1.1786,33,0.22,0.72,7.06,2.03,0.25,0.71,0.03,0
386,Entry Long,Long,2021-07-19 08:15,1.1758,34,0.11,0.27,7.16,0.97,0.12,0.31,0.10,0.25
386,Exit Long,Long Exit,2021-07-19 08:40,1.1799,34,0.11,0.27,7.16,0.97,0.12,0.31,0.10,0.25
387,Entry Short,Short,2021-07-19 09:05,1.1785,33,0.17,0.59,7.33,1.5,0.18,0.55,0.27,0.61
387,Exit Short,Short Exit,2021-07-19 09:35,1.1725,33,0.17,0.59,7.33,1.5,0.18,0.55,0.27,0.61
388,Entry Short,Short,2021-07-19 11:35,1.1664,34,-0.33,-0.67,7.00,-2.89,0,0.05,0.31,0.71
388,Exit Short,Short Exit,2021-07-19 12:45,1.1751,34,-0.33,-0.67,7.00,-2.89,0,0.05,0.31,0.71
389,Entry Short,Short,2021-07-19 13:00,1.1705,34,-0.14,-0.19,6.86,-1.28,0,0.05,0.18,0.36
389,Exit Short,Short Exit,2021-07-19 13:05,1.1737,34,-0.14,-0.19,6.86,-1.28,0,0.05,0.18,0.36
390,Entry Short,Short,2021-07-19 16:10,1.1846,33,-0.08,-0.06,6.78,-0.77,0.02,0.12,0.07,0.1
390,Exit Short,Short Exit,2021-07-19 16:15,1.1862,33,-0.08,-0.06,6.78,-0.77,0.02,0.12,0.07,0.1
391,Entry Short,Short,2021-07-19 16:30,1.1809,33,0.20,0.67,6.98,1.85,0.22,0.63,0.08,0.14
391,Exit Short,Short Exit,2021-07-19 17:35,1.1739,33,0.20,0.67,6.98,1.85,0.22,0.63,0.08,0.14
392,Entry Long,Long,2021-07-19 19:15,1.1687,34,-0.08,-0.19,6.90,-0.69,0,0,0.11,0.27
392,Exit Long,Long Exit,2021-07-19 19:20,1.1674,34,-0.08,-0.19,6.90,-0.69,0,0,0.11,0.27
393,Entry Long,Long,2021-07-19 21:20,1.1550,34,-0.17,-0.43,6.73,-1.57,0.01,0.04,0.16,0.39
393,Exit Long,Long Exit,2021-07-19 21:30,1.1509,34,-0.17,-0.43,6.73,-1.57,0.01,0.04,0.16,0.39
394,Entry Long,Long,2021-07-19 23:10,1.1263,35,-0.37,-0.95,6.36,-3.49,0,0,0.36,0.91
394,Exit Long,Long Exit,2021-07-19 23:20,1.1165,35,-0.37,-0.95,6.36,-3.49,0,0,0.36,0.91
395,Entry Short,Short,2021-07-20 00:05,1.1228,35,-0.26,-0.5,6.10,-2.5,0,0.06,0.25,0.55
395,Exit Short,Short Exit,2021-07-20 00:10,1.1293,35,-0.26,-0.5,6.10,-2.5,0,0.06,0.25,0.55
396,Entry Short,Short,2021-07-20 00:30,1.1259,35,0.14,0.52,6.24,1.39,0.16,0.48,0.17,0.35
396,Exit Short,Short Exit,2021-07-20 00:55,1.1210,35,0.14,0.52,6.24,1.39,0.16,0.48,0.17,0.35
397,Entry Long,Long,2021-07-20 01:30,1.1190,35,-0.08,-0.21,6.16,-0.82,0.02,0.05,0.09,0.22
397,Exit Long,Long Exit,2021-07-20 01:35,1.1175,35,-0.08,-0.21,6.16,-0.82,0.02,0.05,0.09,0.22
398,Entry Short,Short,2021-07-20 02:50,1.1268,35,0.02,0.22,6.18,0.24,0.09,0.3,0.02,0
398,Exit Short,Short Exit,2021-07-20 02:55,1.1252,35,0.02,0.22,6.18,0.24,0.09,0.3,0.02,0
399,Entry Short,Short,2021-07-20 08:50,1.1254,35,0.23,0.75,6.41,2.27,0.25,0.71,0.04,0.01
399,Exit Short,Short Exit,2021-07-20 09:00,1.1179,35,0.23,0.75,6.41,2.27,0.25,0.71,0.04,0.01
400,Entry Short,Short,2021-07-20 09:50,1.1252,35,0.18,0.6,6.59,1.68,0.19,0.56,0.04,0.02
400,Exit Short,Short Exit,2021-07-20 09:55,1.1193,35,0.18,0.6,6.59,1.68,0.19,0.56,0.04,0.02
401,Entry Short,Short,2021-07-20 14:40,1.0558,37,-0.31,-0.62,6.28,-2.88,0.003,0.09,0.29,0.66
401,Exit Short,Short Exit,2021-07-20 15:00,1.0632,37,-0.31,-0.62,6.28,-2.88,0.003,0.09,0.29,0.66
402,Entry Short,Short,2021-07-20 15:25,1.0590,37,-0.25,-0.49,6.03,-2.47,0,0.08,0.24,0.53
402,Exit Short,Short Exit,2021-07-20 15:45,1.0650,37,-0.25,-0.49,6.03,-2.47,0,0.08,0.24,0.53
403,Entry Short,Short,2021-07-20 17:10,1.0590,37,0.28,0.88,6.31,2.83,0.30,0.84,0.22,0.48
403,Exit Short,Short Exit,2021-07-20 17:40,1.0505,37,0.28,0.88,6.31,2.83,0.30,0.84,0.22,0.48
404,Entry Long,Long,2021-07-20 18:15,1.0425,38,0.03,0.06,6.34,0.25,0.26,0.66,0.02,0.06
404,Exit Long,Long Exit,2021-07-20 18:20,1.0440,38,0.03,0.06,6.34,0.25,0.26,0.66,0.02,0.06
405,Entry Long,Long,2021-07-20 19:15,1.0222,39,0.17,0.43,6.51,1.65,0.28,0.69,0.02,0.06
405,Exit Long,Long Exit,2021-07-20 19:20,1.0274,39,0.17,0.43,6.51,1.65,0.28,0.69,0.02,0.06
406,Entry Short,Short,2021-07-20 23:50,1.0452,38,-0.21,-0.38,6.29,-2.04,0,0.08,0.20,0.42
406,Exit Short,Short Exit,2021-07-20 23:55,1.0500,38,-0.21,-0.38,6.29,-2.04,0,0.08,0.20,0.42
407,Entry Long,Long,2021-07-21 10:10,1.0464,38,-0.28,-0.7,6.01,-2.71,0,0,0.28,0.71
407,Exit Long,Long Exit,2021-07-21 10:15,1.0399,38,-0.28,-0.7,6.01,-2.71,0,0,0.28,0.71
408,Entry Long,Long,2021-07-22 05:55,1.1540,34,0.05,0.12,6.06,0.47,0.18,0.47,0.02,0.05
408,Exit Long,Long Exit,2021-07-22 06:00,1.1563,34,0.05,0.12,6.06,0.47,0.18,0.47,0.02,0.05
409,Entry Short,Short,2021-07-22 08:00,1.1628,34,0.03,0.24,6.09,0.33,0.07,0.25,0.05,0.05
409,Exit Short,Short Exit,2021-07-22 08:05,1.1609,34,0.03,0.24,6.09,0.33,0.07,0.25,0.05,0.05
410,Entry Long,Long,2021-07-23 06:20,1.1852,33,-0.11,-0.28,5.98,-1.09,0,0,0.09,0.24
410,Exit Long,Long Exit,2021-07-23 06:25,1.1828,33,-0.11,-0.28,5.98,-1.09,0,0,0.09,0.24
411,Entry Long,Long,2021-07-23 18:20,1.1820,33,-0.14,-0.35,5.85,-1.37,0.07,0.19,0.12,0.31
411,Exit Long,Long Exit,2021-07-23 18:30,1.1788,33,-0.14,-0.35,5.85,-1.37,0.07,0.19,0.12,0.31
412,Entry Long,Long,2021-07-23 19:25,1.1702,34,0.03,0.08,5.88,0.33,0.11,0.28,0.02,0.05
412,Exit Long,Long Exit,2021-07-23 19:30,1.1721,34,0.03,0.08,5.88,0.33,0.11,0.28,0.02,0.05
413,Entry Short,Short,2021-07-23 20:35,1.1739,34,0.23,0.74,6.11,2.33,0.25,0.7,0.10,0.18
413,Exit Short,Short Exit,2021-07-23 21:00,1.1662,34,0.23,0.74,6.11,2.33,0.25,0.7,0.10,0.18
414,Entry Long,Long,2021-07-23 21:30,1.1684,34,0.07,0.17,6.18,0.66,0.11,0.29,0.04,0.1
414,Exit Long,Long Exit,2021-07-23 21:35,1.1713,34,0.07,0.17,6.18,0.66,0.11,0.29,0.04,0.1
415,Entry Short,Short,2021-07-24 03:40,1.1537,34,0.14,0.52,6.32,1.4,0.16,0.48,0.02,0
415,Exit Short,Short Exit,2021-07-24 03:45,1.1486,34,0.14,0.52,6.32,1.4,0.16,0.48,0.02,0
416,Entry Short,Short,2021-07-24 04:25,1.1520,34,-0.13,-0.17,6.19,-1.26,0,0.05,0.12,0.24
416,Exit Short,Short Exit,2021-07-24 04:30,1.1549,34,-0.13,-0.17,6.19,-1.26,0,0.05,0.12,0.24
417,Entry Short,Short,2021-07-24 05:00,1.1562,34,-0.13,-0.17,6.06,-1.28,0.07,0.26,0.11,0.21
417,Exit Short,Short Exit,2021-07-24 05:05,1.1591,34,-0.13,-0.17,6.06,-1.28,0.07,0.26,0.11,0.21
418,Entry Long,Long,2021-07-25 05:45,1.2131,32,0.12,0.31,6.18,1.19,0.13,0.35,0.04,0.11
418,Exit Long,Long Exit,2021-07-25 05:50,1.2178,32,0.12,0.31,6.18,1.19,0.13,0.35,0.04,0.11
419,Entry Long,Long,2021-07-25 11:20,1.2137,32,0.17,0.43,6.34,1.64,0.18,0.47,0.13,0.33
419,Exit Long,Long Exit,2021-07-25 11:55,1.2199,32,0.17,0.43,6.34,1.64,0.18,0.47,0.13,0.33
420,Entry Long,Long,2021-07-25 20:20,1.2211,32,-0.12,-0.3,6.23,-1.14,0.04,0.1,0.11,0.29
420,Exit Long,Long Exit,2021-07-25 20:25,1.2184,32,-0.12,-0.3,6.23,-1.14,0.04,0.1,0.11,0.29
421,Entry Long,Long,2021-07-25 21:35,1.2199,32,-0.20,-0.51,6.03,-1.93,0,0,0.18,0.47
421,Exit Long,Long Exit,2021-07-25 21:40,1.2147,32,-0.20,-0.51,6.03,-1.93,0,0,0.18,0.47
422,Entry Long,Long,2021-07-25 22:50,1.2111,33,-0.17,-0.42,5.86,-1.67,0.11,0.27,0.15,0.38
422,Exit Long,Long Exit,2021-07-25 23:00,1.2070,33,-0.17,-0.42,5.86,-1.67,0.11,0.27,0.15,0.38
423,Entry Short,Short,2021-07-26 01:05,1.2027,33,0.09,0.4,5.96,0.95,0.11,0.36,0.04,0.02
423,Exit Short,Short Exit,2021-07-26 01:10,1.1989,33,0.09,0.4,5.96,0.95,0.11,0.36,0.04,0.02
424,Entry Long,Long,2021-07-26 02:15,1.1992,33,0.09,0.24,6.05,0.94,0.11,0.28,0.09,0.22
424,Exit Long,Long Exit,2021-07-26 02:20,1.2030,33,0.09,0.24,6.05,0.94,0.11,0.28,0.09,0.22
425,Entry Long,Long,2021-07-26 22:35,1.3261,30,-0.005,-0.01,6.04,-0.05,0.13,0.32,0.05,0.12
425,Exit Long,Long Exit,2021-07-26 22:40,1.3270,30,-0.005,-0.01,6.04,-0.05,0.13,0.32,0.05,0.12
426,Entry Long,Long,2021-07-26 23:15,1.3295,30,-0.16,-0.4,5.89,-1.57,0.06,0.16,0.14,0.36
426,Exit Long,Long Exit,2021-07-26 23:30,1.3253,30,-0.16,-0.4,5.89,-1.57,0.06,0.16,0.14,0.36
427,Entry Long,Long,2021-07-27 07:00,1.2598,31,0.31,0.78,6.19,3.1,0.36,0.92,0.24,0.61
427,Exit Long,Long Exit,2021-07-27 07:05,1.2707,31,0.31,0.78,6.19,3.1,0.36,0.92,0.24,0.61
428,Entry Short,Short,2021-07-27 08:10,1.2570,31,0.37,1.11,6.57,3.65,0.39,1.07,0.48,1.15
428,Exit Short,Short Exit,2021-07-27 09:10,1.2440,31,0.37,1.11,6.57,3.65,0.39,1.07,0.48,1.15
429,Entry Long,Long,2021-07-27 12:20,1.2227,32,0.17,0.43,6.73,1.58,0.19,0.48,0.02,0.06
429,Exit Long,Long Exit,2021-07-27 12:25,1.2289,32,0.17,0.43,6.73,1.58,0.19,0.48,0.02,0.06
430,Entry Short,Short,2021-07-27 13:05,1.2239,32,-0.30,-0.61,6.43,-2.83,0,0.06,0.31,0.7
430,Exit Short,Short Exit,2021-07-27 13:10,1.2324,32,-0.30,-0.61,6.43,-2.83,0,0.06,0.31,0.7
431,Entry Short,Short,2021-07-27 13:30,1.2279,32,-0.28,-0.56,6.14,-2.73,0.09,0.3,0.27,0.6
431,Exit Short,Short Exit,2021-07-27 13:45,1.2358,32,-0.28,-0.56,6.14,-2.73,0.09,0.3,0.27,0.6
432,Entry Long,Long,2021-07-28 02:15,1.2456,32,0.14,0.35,6.28,1.36,0.15,0.39,0.07,0.18
432,Exit Long,Long Exit,2021-07-28 02:40,1.2509,32,0.14,0.35,6.28,1.36,0.15,0.39,0.07,0.18
433,Entry Short,Short,2021-07-28 04:20,1.2472,32,-0.23,-0.41,6.05,-2.21,0.04,0.19,0.21,0.45
433,Exit Short,Short Exit,2021-07-28 04:30,1.2533,32,-0.23,-0.41,6.05,-2.21,0.04,0.19,0.21,0.45
434,Entry Short,Short,2021-07-28 05:00,1.2434,32,-0.54,-1.19,5.52,-5.35,0.01,0.1,0.60,1.43
434,Exit Short,Short Exit,2021-07-28 05:05,1.2592,32,-0.54,-1.19,5.52,-5.35,0.01,0.1,0.60,1.43
435,Entry Long,Long,2021-07-28 23:20,1.2861,31,-0.15,-0.38,5.36,-1.6,0.01,0.03,0.14,0.34
435,Exit Long,Long Exit,2021-07-28 23:30,1.2822,31,-0.15,-0.38,5.36,-1.6,0.01,0.03,0.14,0.34
436,Entry Short,Short,2021-07-29 02:05,1.3004,30,-0.17,-0.27,5.20,-1.78,0,0.05,0.15,0.31
436,Exit Short,Short Exit,2021-07-29 02:10,1.3049,30,-0.17,-0.27,5.20,-1.78,0,0.05,0.15,0.31
437,Entry Short,Short,2021-07-29 07:05,1.2803,31,-0.14,-0.19,5.06,-1.53,0.02,0.13,0.13,0.25
437,Exit Short,Short Exit,2021-07-29 07:10,1.2838,31,-0.14,-0.19,5.06,-1.53,0.02,0.13,0.13,0.25
438,Entry Short,Short,2021-07-29 07:30,1.2852,31,0.02,0.2,5.08,0.2,0.13,0.41,0.02,0
438,Exit Short,Short Exit,2021-07-29 07:35,1.2836,31,0.02,0.2,5.08,0.2,0.13,0.41,0.02,0
439,Entry Short,Short,2021-07-29 09:05,1.2771,31,-0.38,-0.79,4.70,-4.14,0.04,0.19,0.36,0.83
439,Exit Short,Short Exit,2021-07-29 09:10,1.2882,31,-0.38,-0.79,4.70,-4.14,0.04,0.19,0.36,0.83
440,Entry Short,Short,2021-07-29 09:25,1.2805,31,0.24,0.77,4.94,2.77,0.26,0.73,0.02,0
440,Exit Short,Short Exit,2021-07-29 09:45,1.2717,31,0.24,0.77,4.94,2.77,0.26,0.73,0.02,0
441,Entry Short,Short,2021-07-29 20:40,1.2729,31,0.28,0.86,5.22,3.08,0.29,0.82,0.04,0.01
441,Exit Short,Short Exit,2021-07-29 20:45,1.2630,31,0.28,0.86,5.22,3.08,0.29,0.82,0.04,0.01
442,Entry Long,Long,2021-07-29 21:30,1.2694,31,0.17,0.43,5.39,1.84,0.19,0.47,0.16,0.4
442,Exit Long,Long Exit,2021-07-29 22:10,1.2759,31,0.17,0.43,5.39,1.84,0.19,0.47,0.16,0.4